pair,ciclo nascita
LMWR-USDT,4
LOCUS-USDT,3
LOKA-USDT,4
LOOKS-USDT,4
LOOM-USDT,3
LPOOL-USDT,3
LPT-USDT,3
LQTY-USDT,4
LRC-USDT,2
LSK-USDT,2
LSS-USDT,3
LTC-USDT,1
LTO-USDT,3
LUNA-USDT,3
LUNC-USDT,3
LYM-USDT,3
LYX-USDT,4
MAGIC-USDT,3
MAHA-USDT,3
MAN-USDT,3
MANA-USDT,2
MAP-USDT,3
MARS4-USDT,3
MARSH-USDT,3
MASK-USDT,3
MATIC-USDT,3
MATTER-USDT,3
MAV-USDT,4
MBL-USDT,3
MC-USDT,4
MELOS-USDT,4
MEME-USDT,4
METIS-USDT,4
MINA-USDT,3
MIND-USDT,4
MJT-USDT,4
MKR-USDT,2
MLK-USDT,3
MLS-USDT,4
MM-USDT,4
MMM-USDT,4
MNDE-USDT,4
MNT-USDT,4
MNW-USDT,3
MONI-USDT,3
MOVR-USDT,3
MPLX-USDT,4
MTL-USDT,2
MTRG-USDT,3
MTS-USDT,4
MTV-USDT,3
MUBI-USDT,4
MV-USDT,4
MXC-USDT,3
MYRIA-USDT,4
MYRO-USDT,4
NAKA-USDT,4
NAVI-USDT,3
NEAR-USDT,3
NEER-USDT,4
NEO-USDT,2
NFT-USDT,3
NGC-USDT,2
NGL-USDT,4
NHCT-USDT,4
NIM-USDT,3
NKN-USDT,3
NMR-USDT,2
NOIA-USDT,3
NOM-USDT,4
NORD-USDT,3
NRFB-USDT,4
NTRN-USDT,4
NTVRK-USDT,3
NUM-USDT,4
NWC-USDT,3
NXRA-USDT,4
NYM-USDT,4
OAS-USDT,4
OBI-USDT,4
OCEAN-USDT,3
ODDZ-USDT,3
OFN-USDT,4
OGN-USDT,3
OGV-USDT,4
OLE-USDT,4
OLT-USDT,3
OM-USDT,3
OMG-USDT,2
ONE-USDT,3
ONT-USDT,2
OOE-USDT,3
OP-USDT,4
OPUL-USDT,3
ORAI-USDT,3
ORBS-USDT,3
ORC-USDT,3
ORDI-USDT,4
ORN-USDT,3
OSMO-USDT,3
OTK-USDT,4
OVR-USDT,3
OXT-USDT,3
PBR-USDT,3
PBX-USDT,3
PDEX-USDT,3
PEL-USDT,4
PENDLE-USDT,4
PEOPLE-USDT,3
PEPE-USDT,4
PEPE2-USDT,4
PERP-USDT,3
PHA-USDT,3
PHNX-USDT,3
PIP-USDT,4
PIX-USDT,4
PLU-USDT,2
PMON-USDT,3
POKT-USDT,4
POL-USDT,4
POLC-USDT,3
POLK-USDT,3
POLS-USDT,3
POLX-USDT,3
POLYX-USDT,4
POND-USDT,3
PRE-USDT,3
PROM-USDT,3
PRQ-USDT,3
PSL-USDT,3
PSTAKE-USDT,4
PUMLX-USDT,4
PUNDIX-USDT,3
PUSH-USDT,3
PYR-USDT,3
PYTH-USDT,4
PZP-USDT,4
QI-USDT,3
QKC-USDT,3
QNT-USDT,3
QRDO-USDT,3
QUICK-USDT,3
RACA-USDT,3
RANKER-USDT,4
RATS-USDT,4
RBP-USDT,4
RDNT-USDT,4
REAP-USDT,3
REEF-USDT,3
REN-USDT,3
REQ-USDT,2
REVU-USDT,4
REVV-USDT,3
RFD-USDT,4
RFOX-USDT,3
RLC-USDT,2
RMRK-USDT,3
RNDR-USDT,3
ROOT-USDT,4
ROSE-USDT,3
ROUTE-USDT,3
RPK-USDT,4
RPL-USDT,3
RSR-USDT,3
RUNE-USDT,3
RVN-USDT,3
SAND-USDT,3
SATS-USDT,4
SCLP-USDT,3
SCPT-USDT,4
SCRT-USDT,3
SD-USDT,4
SDAO-USDT,3
SEAM-USDT,4
SEI-USDT,4
SENSO-USDT,3
SFP-USDT,3
SFUND-USDT,3
SHA-USDT,3
SHIB-USDT,3
SHILL-USDT,3
SHR-USDT,3
SHRAP-USDT,4
SIDUS-USDT,3
SILLY-USDT,4
SIMP-USDT,4
SIN-USDT,3
SKEY-USDT,3
SKL-USDT,3
SLIM-USDT,3
SLP-USDT,3
SNS-USDT,4
SNX-USDT,3
SOL-USDT,3
SOLR-USDT,4
SOLS-USDT,4
SOLVE-USDT,3
SON-USDT,4
SOUL-USDT,3
SPA-USDT,3
SQUAD-USDT,4
SRBP-USDT,3
SRK-USDT,3
SSV-USDT,4
STARLY-USDT,4
STC-USDT,4
STG-USDT,4
STND-USDT,3
STORE-USDT,4
STORJ-USDT,2
STRAX-USDT,2
STX-USDT,3
SUI-USDT,4
SUIA-USDT,4
SUIP-USDT,4
SUKU-USDT,3
SUN-USDT,3
SUPER-USDT,3
SUSHI-USDT,3
SUTER-USDT,3
SWASH-USDT,4
SWEAT-USDT,4
SWFTC-USDT,3
SXP-USDT,3
SYLO-USDT,3
SYN-USDT,3
SYS-USDT,2
T-USDT,4
TAO-USDT,4
TARA-USDT,3
TEL-USDT,3
TENET-USDT,4
TFUEL-USDT,3
THETA-USDT,3
TIA-USDT,4
TIDAL-USDT,3
TIME-USDT,2
TITAN-USDT,3
TLM-USDT,3
TLOS-USDT,3
TOKEN-USDT,4
TOKO-USDT,3
TOMI-USDT,4
TON-USDT,3
TOWER-USDT,3
TRAC-USDT,3
TRADE-USDT,3
TRB-USDT,3
TRIAS-USDT,3
TRIBL-USDT,4
TRU-USDT,3
TRVL-USDT,4
TRX-USDT,2
TSUGT-USDT,4
TT-USDT,3
TURBOS-USDT,4
TURT-USDT,4
TWT-USDT,3
TXA-USDT,3
UFO-USDT,3
UMA-USDT,3
UNB-USDT,4
UNFI-USDT,4
UNI-USDT,3
UNIC-USDT,3
UNO-USDT,3
UOS-USDT,3
UPO-USDT,4
UQC-USDT,3
USTC-USDT,3
UTK-USDT,2
VAI-USDT,3
VANRY-USDT,3
VCORE-USDT,4
VEGA-USDT,4
VELO-USDT,3
VERSE-USDT,4
VET-USDT,2
VIDT-USDT,4
VISION-USDT,4
VLX-USDT,3
VOLT-USDT,4
VOXEL-USDT,4
VR-USDT,4
VRA-USDT,3
VRTX-USDT,4
VSYS-USDT,3
VXV-USDT,3
WAVES-USDT,2
WAX-USDT,3
WBTC-USDT,3
WELL-USDT,3
WEMIX-USDT,3
WEST-USDT,3
